GoalId,GameId,AwayTeamId,HomeTeamId,EventNumber,PeriodNumber,EventTime,ScoringTeam,ScoringTeamId,Disposition,GoalScorerNumber,GoalScorerId,NumGoals,FirstAssistNumber,FirstAssistId,NumAssistsFirstPlayer,SecondAssistNumber,SecondAssistId,NumAssistsSecondPlayer,ShotType,Zone,ShotDistance
34601,2008020001,23,12,203,2,00:18:08,NYR,23,EV,91,8458530,1,19,8467351,1,NULL,NULL,NULL,Wrist,offensive,30
34602,2008020001,23,12,229,3,00:03:57,TBL,12,EV,26,8466378,1,4,8467329,1,NULL,NULL,NULL,Backhand,offensive,22
34603,2008020001,23,12,283,3,00:14:16,NYR,23,PP,17,8471273,1,5,8471958,1,27,8466144,1,Wrist,offensive,42
34604,2008020002,15,27,7,1,00:00:40,PIT,15,EV,48,8471311,1,11,8473533,1,NULL,NULL,NULL,Wrist,offensive,19
34605,2008020002,15,27,57,1,00:09:13,OTT,27,EV,10,8459450,1,37,8458536,1,17,8462225,1,Tip-In,offensive,18
34606,2008020002,15,27,136,2,00:03:18,PIT,15,SH,71,8471215,1,NULL,NULL,NULL,NULL,NULL,NULL,Backhand,offensive,13
34607,2008020002,15,27,194,2,00:12:15,OTT,27,PP,15,8468482,1,19,8469455,1,17,8462225,2,Wrist,offensive,30
34608,2008020002,15,27,223,2,00:17:55,OTT,27,SH,19,8469455,1,24,8468501,1,NULL,NULL,NULL,Wrist,offensive,21
34609,2008020002,15,27,252,3,00:03:56,PIT,15,EV,4,8467452,1,87,8471675,1,81,8459534,1,Wrist,offensive,36
34611,2008020003,12,23,102,1,00:18:17,TBL,12,EV,18,8467925,1,14,8471236,1,77,8459425,1,Slap,offensive,19
34612,2008020003,12,23,134,2,00:03:47,NYR,23,PP,6,8462033,1,91,8458530,1,19,8467351,2,Tip-In,offensive,20
34613,2008020003,12,23,175,2,00:12:12,NYR,23,EV,19,8467351,1,34,8469672,1,6,8462033,1,Wrist,offensive,13
34614,2008020004,27,15,191,2,00:13:07,OTT,27,PP,15,8468482,2,19,8469455,2,11,8460621,1,Wrist,offensive,13
34615,2008020004,27,15,285,3,00:12:17,OTT,27,PP,15,8468482,3,11,8460621,2,17,8462225,3,Slap,offensive,29
34616,2008020004,27,15,302,3,00:15:50,OTT,27,EV,20,8468535,1,18,8474498,1,22,8467967,1,Wrist,offensive,10
34617,2008020004,27,15,316,3,00:19:58,PIT,15,PP,13,8471274,1,87,8471675,2,71,8471215,1,Snap,offensive,30
34618,2008020005,1,9,103,1,00:19:34,TOR,1,PP,77,8465210,1,NULL,NULL,NULL,NULL,NULL,NULL,Snap,offensive,15
34619,2008020005,1,9,179,2,00:15:04,TOR,1,EV,19,8468575,1,10,8470257,1,24,8467531,1,Snap,offensive,7
34620,2008020005,1,9,184,2,00:16:28,DET,9,EV,96,8460743,1,23,8467331,1,13,8467514,1,Tip-In,offensive,9
34621,2008020005,1,9,224,3,00:07:25,TOR,1,EV,41,8473579,1,NULL,NULL,NULL,NULL,NULL,NULL,Wrist,offensive,20
34622,2008020005,1,9,235,3,00:09:20,DET,9,PP,96,8460743,2,81,8466148,1,28,8467856,1,Wrist,offensive,14
34623,2008020006,13,11,42,1,00:06:21,BOS,13,EV,81,8473548,1,37,8470638,1,21,8466333,1,Wrist,offensive,29
34624,2008020006,13,11,61,1,00:10:02,COL,11,PP,23,8460577,1,26,8471669,1,4,8468639,1,Snap,offensive,20
34625,2008020006,13,11,65,1,00:10:51,BOS,13,EV,42,8471218,1,46,8471276,1,12,8469467,1,Wrist,offensive,20
34626,2008020006,13,11,96,1,00:14:52,COL,11,EV,8,8471234,1,40,8469670,1,16,8459574,1,Wrist,offensive,11
34627,2008020006,13,11,177,2,00:06:34,COL,11,EV,55,8471657,1,19,8451101,1,4,8468639,2,Wrist,offensive,8
34628,2008020006,13,11,197,2,00:10:43,BOS,13,PP,91,8462118,1,33,8465009,1,37,8470638,2,Tip-In,offensive,13
34629,2008020006,13,11,276,3,00:05:36,BOS,13,EV,73,8467545,1,91,8462118,1,11,8462209,1,Wrist,offensive,14
34630,2008020006,13,11,303,3,00:10:17,COL,11,EV,44,8467917,1,23,8460577,1,24,8464962,1,Snap,offensive,40
34631,2008020006,13,11,327,3,00:17:24,BOS,13,EV,46,8471276,1,12,8469467,2,17,8473473,1,Wrist,offensive,13
34632,2008020007,16,25,83,1,00:16:25,VAN,25,EV,33,8467876,1,22,8467875,1,17,8470616,1,Wrist,offensive,10
34633,2008020007,16,25,106,2,00:00:23,VAN,25,EV,18,8470609,1,33,8467876,1,22,8467875,2,Wrist,offensive,20
34634,2008020007,16,25,112,2,00:01:57,VAN,25,EV,14,8470358,1,17,8470616,2,NULL,NULL,NULL,Wrist,offensive,18
34635,2008020007,16,25,227,3,00:02:48,VAN,25,EV,14,8470358,2,10,8460527,1,NULL,NULL,NULL,Wrist,offensive,29
34636,2008020007,16,25,258,3,00:10:27,VAN,25,PP,2,8460503,1,9,8467881,1,22,8467875,3,Wrist,offensive,17
34637,2008020007,16,25,277,3,00:14:42,VAN,25,SH,37,8471628,1,2,8460503,1,NULL,NULL,NULL,Wrist,offensive,21
