PlayerId,Playername,Position,Assists,weighted_assist
8471669,"Paul Stastny",C,37,13.946269827605008
8467389,"Brad Richards",C,43,13.74282873472446
8473563,"Nicklas Backstrom",C,41,12.546129337256462
8471215,"Evgeni Malkin",C,29,12.437875973654013
8471214,"Alex Ovechkin",R,36,12.242574639401061
8467876,"Henrik Sedin",C,44,11.187957617537913
8466138,"Joe Thornton",C,43,11.002321716575754
8474564,"Steven Stamkos",C,26,10.362946981862162
8470612,"Ryan Getzlaf",C,33,10.291989069240383
8466378,"Martin St. Louis",R,33,10.021365905665997
8467875,"Daniel Sedin",L,35,9.820300752251951
8467096,"Dan Boyle",D,24,9.806354450985163
8467351,"Scott Gomez",C,29,9.63206174091983
8462038,"Shane Doan",R,23,9.597445855448807
8459596,"Andrew Brunette",L,22,9.563897033676996
8470621,"Corey Perry",R,28,9.462147366627827
8469455,"Jason Spezza",C,21,9.258632330213247
8474141,"Patrick Kane",R,33,9.086760102113702
8471675,"Sidney Crosby",C,35,8.938036597142426
8471242,"Mike Green",D,29,8.859074621556655
8466202,"Maxim Afinogenov",R,19,8.622847730306624
8469485,"Derek Roy",C,28,8.601107147000482
8466181,"Kristian Huselius",L,26,8.592058593389869
8470595,"Eric Staal",C,24,8.578740021069489
8473604,"Jonathan Toews",C,29,8.565124142967585
8467514,"Pavel Datsyuk",C,24,8.523137932374611
8467878,"Tim Connolly",C,25,8.476407649311714
8468483,"Marian Gaborik",R,31,8.38587600351099
8470616,"Ryan Kesler",C,28,8.378741552917283
8470610,"Zach Parise",L,26,8.32760137150494
8471276,"David Krejci",C,22,8.169884764276507
8460621,"Daniel Alfredsson",R,24,8.148635815135137
8470606,"Dustin Brown",R,24,8.006770074771559
8470828,"Toby Enstrom",D,22,7.826706977506611
8467412,"Alexei Ponikarovsky",L,19,7.812192034841707
8468309,"Mark Streit",D,23,7.763782329066081
8466140,"Olli Jokinen",C,17,7.700583030013023
8468482,"Dany Heatley",L,26,7.634001231031827
8467371,"Mike Ribeiro",C,23,7.60941167605091
8460719,"Steve Sullivan",L,19,7.493634633776839
8458951,"Sergei Gonchar",D,15,7.369343584065905
8462042,"Jarome Iginla",R,21,7.343350622875482
8470617,"Mike Richards",C,21,7.287049772834124
8469454,"Ilya Kovalchuk",R,28,7.274015761255144
8466139,"Patrick Marleau",L,22,7.227525820456534
8469457,"Stephen Weiss",C,17,7.224458809505397
8465009,"Zdeno Chara",D,22,7.130174883567047
8465200,"Tomas Kaberle",D,21,7.093260694901264
8469521,"Tomas Plekanec",C,24,7.079019808640695
8467353,"Nik Antropov",C,23,7.070806621303882
8468083,"Henrik Zetterberg",L,26,7.00257575588246
8459492,"Vinny Prospal",L,26,6.9719014439404114
8458537,"Ray Whitney",L,25,6.937543111168383
8459444,"Todd Bertuzzi",R,17,6.892473939560292
8470596,"Nathan Horton",R,23,6.848550570136887
