Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
2,1,1,8471214,"Alex Ovechkin",R,45,14.761
3,2,1,8471242,"Mike Green",D,39,14.579
1,3,-2,8471240,"Jeff Schultz",D,51,14.328
4,4,0,8469555,"Christian Ehrhoff",D,36,11.061
5,5,0,8473563,"Nicklas Backstrom",C,36,10.921
7,6,1,8467876,"Henrik Sedin",C,35,10.417
16,7,9,8474190,"Wayne Simmonds",R,22,10.245
8,8,0,8467875,"Daniel Sedin",L,35,9.941
6,9,-3,8470120,"Alexander Semin",R,36,9.513
28,10,18,8468483,"Marian Gaborik",R,19,9.285
42,11,31,8467353,"Nik Antropov",C,15,9.263
54,12,42,8471703,"Steve Downie",R,13,9.127
31,13,18,8471887,"Patric Hornqvist",R,18,8.955
32,14,18,8471675,"Sidney Crosby",C,18,8.729
48,15,33,8469454,"Ilya Kovalchuk",R,14,8.702
22,16,6,8467856,"Brian Rafalski",D,20,8.657
33,17,16,8474563,"Drew Doughty",D,18,8.609
20,18,2,8471234,"Wojtek Wolski",L,21,8.429
81,19,62,8459492,"Vinny Prospal",L,10,7.939
55,20,35,8459442,"Saku Koivu",C,13,7.727
39,21,18,8473533,"Jordan Staal",C,17,7.665
29,22,7,8457063,"Nicklas Lidstrom",D,19,7.518
10,23,-13,8471241,"Mark Fistric",D,28,7.479
9,24,-15,8470358,"Alexandre Burrows",R,33,7.474
529,25,504,8469455,"Jason Spezza",C,-3,7.472
56,26,30,8474574,"Tyler Myers",D,13,7.398
11,27,-16,8466148,"Marian Hossa",R,24,7.193
149,28,121,8471226,"Drew Stafford",R,5,7.184
34,29,5,8470611,"Eric Fehr",R,18,6.987
49,30,19,8471742,"Cody Franson",D,14,6.978
280,31,249,8471362,"Mikhail Grabovski",C,1,6.571
12,32,-20,8473604,"Jonathan Toews",C,23,6.546
127,33,94,8474001,"TJ Galiardi",L,6,6.484
62,34,28,8467881,"Taylor Pyatt",L,12,6.473
