Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
2,1,1,8470655,"David Backes",C,34,11.332
5,2,3,8467875,"Daniel Sedin",L,29,9.611
295,3,292,8470598,"Thomas Vanek",L,1,8.829
12,4,8,8470604,"Jeff Carter",C,27,8.647
125,5,120,8469521,"Tomas Plekanec",C,8,8.635
16,6,10,8473419,"Brad Marchand",L,25,8.473
205,7,198,8467407,"Brian Gionta",R,4,8.057
17,8,9,8473604,"Jonathan Toews",C,25,8.005
19,9,10,8471276,"David Krejci",C,24,7.898
23,10,13,8470120,"Alexander Semin",R,21,7.676
206,11,195,8469459,"Mikko Koivu",C,4,7.586
26,12,14,8471714,"Michael Sauer",D,20,7.51
66,13,53,8471362,"Mikhail Grabovski",C,13,7.475
20,14,6,8470616,"Ryan Kesler",C,23,7.378
43,15,28,8471735,"Keith Yandle",D,16,7.367
3,16,-13,8469598,"Kevin Bieksa",D,31,7.005
67,17,50,8468598,"Lubomir Visnovsky",D,13,6.95
10,18,-8,8473473,"Milan Lucic",L,28,6.905
1,19,-18,8465009,"Zdeno Chara",D,35,6.871
50,20,30,8471716,"Justin Abdelkader",L,15,6.786
112,21,91,8471226,"Drew Stafford",R,9,6.653
258,22,236,8470329,"Chris Campoli",D,2,6.643
44,23,21,8470601,"Braydon Coburn",D,16,6.616
6,24,-18,8470596,"Nathan Horton",R,29,6.603
85,25,60,8471742,"Cody Franson",D,11,6.576
45,26,19,8468508,"Justin Williams",R,16,6.46
113,27,86,8467856,"Brian Rafalski",D,9,6.433
96,28,68,8474166,"Alec Martinez",D,10,6.302
35,29,6,8469555,"Christian Ehrhoff",D,18,6.241
36,30,6,8468434,"Andy McDonald",L,18,6.12
46,31,15,8474151,"Ryan McDonagh",D,16,6.083
18,32,-14,8467876,"Henrik Sedin",C,25,6.064
259,33,226,8469500,"Mike Cammalleri",L,2,5.942
13,34,-21,8470358,"Alexandre Burrows",R,27,5.888
51,35,16,8471676,"Bobby Ryan",R,15,5.868
47,36,11,8468927,"Steve Montador",D,16,5.837
52,37,15,8465050,"Eric Belanger",C,15,5.796
260,38,222,8462042,"Jarome Iginla",R,2,5.786
7,39,-32,8469465,"Dan Hamhuis",D,29,5.776
4,40,-36,8471717,"Adam McQuaid",D,30,5.76
14,41,-27,8471685,"Anze Kopitar",C,26,5.695
86,42,44,8467514,"Pavel Datsyuk",C,11,5.612
207,43,164,8457981,"Teemu Selanne",R,4,5.606
27,44,-17,8473512,"Claude Giroux",C,20,5.494
15,45,-30,8466285,"Brian Campbell",D,26,5.418
97,46,51,8471218,"Blake Wheeler",R,10,5.412
59,47,12,8471724,"Kris Letang",D,14,5.381
126,48,78,8468085,"Radim Vrbata",R,8,5.345
68,49,19,8470265,"Anton Babchuk",D,13,5.334
60,50,10,8468504,"Brad Boyes",R,14,5.313
803,51,752,8470222,"James Wisniewski",D,-13,5.245
154,52,102,8471185,"Curtis Glencross",L,6,5.2
69,53,16,8468001,"Derek MacKenzie",C,13,5.166
61,55,6,8469639,"Brooks Laich",C,14,5.159
704,54,650,8459596,"Andrew Brunette",L,-7,5.159
39,56,-17,8474218,"Jason Demers",D,17,5.157
127,57,70,8471703,"Steve Downie",R,8,5.15
140,58,82,8471234,"Wojtek Wolski",L,7,5.148
8,59,-51,8470640,"Matthew Carle",D,29,5.14
634,60,574,8473994,"Jamie Benn",L,-5,5.122
21,61,-40,8471214,"Alex Ovechkin",R,22,5.082
87,62,25,8471279,"Sami Lepisto",D,11,5.046
141,63,78,8465058,"Michal Rozsival",D,7,5.034
114,64,50,8468483,"Marian Gaborik",R,9,4.948
28,65,-37,8470600,"Ryan Suter",D,20,4.855
128,66,62,8473579,"Nikolay Kulemin",L,8,4.845
115,67,48,8470794,"Joe Pavelski",C,9,4.826
208,68,140,8469469,"R.J. Umberger",C,4,4.808
98,69,29,8469581,"Kyle Wellwood",C,10,4.799
392,70,322,8469485,"Derek Roy",C,-1,4.794
70,71,-1,8471303,"Alexander Edler",D,13,4.771
88,72,16,8474571,"Mikkel Boedker",L,11,4.746
99,73,26,8470612,"Ryan Getzlaf",C,10,4.628
116,74,42,8473673,"David Schlemko",D,9,4.601
175,75,100,8473412,"Bryan Little",C,5,4.575
77,76,1,8459670,"Kimmo Timonen",D,12,4.56
32,77,-45,8471274,"Alex Goligoski",D,19,4.557
677,78,599,8471669,"Paul Stastny",C,-6,4.548
33,79,-46,8474053,"Logan Couture",C,19,4.468
232,80,152,8471482,"Grant Clitsome",D,3,4.434
71,81,-10,8471498,"Jannik Hansen",R,13,4.411
117,82,35,8469664,"David Moss",R,9,4.408
9,83,-74,8471236,"Andrej Meszaros",D,29,4.386
11,84,-73,8465042,"Toni Lydman",D,28,4.366
261,85,176,8474068,"Kyle Turris",C,2,4.364
34,86,-52,8474565,"Alex Pietrangelo",D,19,4.341
176,87,89,8469638,"Jussi Jokinen",L,5,4.253
129,88,41,8474141,"Patrick Kane",R,8,4.234
53,89,-36,8474037,"James van Riemsdyk",L,15,4.205
54,90,-36,8468486,"Scott Hartnell",L,15,4.15
