Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Points,Points_w
3,1,2,8467875,"Daniel Sedin",L,74,24.068
5,2,3,8474564,"Steven Stamkos",C,66,20.981
8,3,5,8457981,"Teemu Selanne",R,60,20.377
4,4,0,8462042,"Jarome Iginla",R,68,20.206
1,5,-4,8470621,"Corey Perry",R,76,20.11
2,6,-4,8466378,"Martin St. Louis",R,75,19.966
6,7,-1,8467876,"Henrik Sedin",C,63,19.861
9,8,1,8467389,"Brad Richards",C,60,19.676
18,9,9,8473548,"Phil Kessel",R,53,18.753
7,10,-3,8470616,"Ryan Kesler",C,62,18.5
10,11,-1,8473512,"Claude Giroux",C,59,18.481
36,12,24,8475168,"Matt Duchene",C,47,18.44
19,13,6,8466138,"Joe Thornton",C,53,18.436
15,14,1,8467338,"Alex Tanguay",L,54,18.357
11,15,-4,8470595,"Eric Staal",C,59,18.225
23,16,7,8470667,"Clarke MacArthur",L,51,17.831
67,17,50,8460577,"Milan Hejduk",R,40,17.74
34,18,16,8469622,"Ryane Clowe",L,48,17.559
20,19,1,8464975,"Daniel Briere",C,53,17.391
21,20,1,8470626,"Loui Eriksson",R,52,17.177
14,21,-7,8471676,"Bobby Ryan",R,57,17.165
16,22,-6,8471685,"Anze Kopitar",C,54,17.079
56,23,33,8471669,"Paul Stastny",C,43,17.076
51,24,27,8458537,"Ray Whitney",L,44,17.017
38,25,13,8469454,"Ilya Kovalchuk",R,46,16.798
12,26,-14,8473604,"Jonathan Toews",C,59,16.69
24,27,-3,8467371,"Mike Ribeiro",C,51,16.625
22,28,-6,8470598,"Thomas Vanek",L,52,16.536
117,29,88,8469639,"Brooks Laich",C,33,16.281
13,30,-17,8471214,"Alex Ovechkin",R,58,16.264
37,31,6,8471362,"Mikhail Grabovski",C,47,16.224
31,32,-1,8466139,"Patrick Marleau",L,49,16.193
17,33,-16,8468083,"Henrik Zetterberg",L,54,16.036
25,34,-9,8470041,"Rick Nash",L,51,15.998
52,35,17,8471217,"Andrew Ladd",L,44,15.672
72,36,36,8467396,"Erik Cole",L,39,15.336
53,37,16,8470120,"Alexander Semin",R,44,15.238
57,38,19,8469469,"R.J. Umberger",C,43,15.157
58,39,19,8470612,"Ryan Getzlaf",C,43,15.13
41,40,1,8466160,"Brenden Morrow",L,45,15.075
62,41,21,8469521,"Tomas Plekanec",C,42,14.769
42,42,0,8473546,"Michael Grabner",R,45,14.708
73,43,30,8473994,"Jamie Benn",L,39,14.511
59,44,15,8467407,"Brian Gionta",R,43,14.346
43,45,-2,8471276,"David Krejci",C,45,14.299
32,46,-14,8467899,"Martin Havlat",L,49,14.267
86,47,39,8471260,"Blake Comeau",L,37,14.174
39,48,-9,8473485,"Chris Stewart",R,46,14.115
26,49,-23,8469544,"Patrick Sharp",L,51,14.078
28,50,-22,8470604,"Jeff Carter",C,50,14.067
44,51,-7,8475784,"Jeff Skinner",L,45,13.932
45,52,-7,8470606,"Dustin Brown",R,45,13.915
74,53,21,8474589,"Tyler Ennis",C,39,13.751
75,54,21,8471226,"Drew Stafford",R,39,13.734
29,55,-26,8470655,"David Backes",C,50,13.697
46,56,-10,8475166,"John Tavares",C,45,13.689
76,57,19,8468508,"Justin Williams",R,39,13.382
