GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2012020001,280,0,-1,32,31,19,3,115,39,21,24,0.25214306828258937
2012020001,440,-1,0,142,41,21,16,27,3,4,2,0.22323232323232323
2012020001,1223,-2,0,10,58,5,3,54,165,34,46,0.30826439007217044
2012020001,3588,-1,-1,19,0,0,0,141,0,0,0,0
2012020002,360,0,1,27,33,14,9,124,42,22,28,0.38509593931280683
2012020002,962,1,0,49,165,30,30,209,209,70,70,0.4393166418125213
2012020002,2232,0,0,98,98,57,57,144,43,38,31,0.35909778225806455
2012020002,3135,-1,-1,19,0,1,1,139,1,3,5,0.000321750321750372
2012020002,3470,-2,0,138,0,2,1,92,0,0,0,0.007092198581560304
2012020003,221,0,-2,2,0,0,0,13,3,1,2,-0.42105263157894746
2012020003,777,-1,0,152,53,21,29,51,9,8,5,0.2143432715551974
2012020003,851,-2,0,54,9,7,4,12,0,0,0,0.29729729729729726
2012020003,1276,-3,0,26,1,1,1,5,0,0,0,0.10344827586206902
2012020003,2317,-4,0,0,29,0,1,0,68,0,0,-0.03333333333333333
2012020003,2960,-3,0,0,76,0,1,1,138,4,3,0.07605408290339796
2012020003,2975,-2,0,134,1,3,3,86,0,1,0,0.0354609929078015
2012020004,854,0,0,204,204,77,77,160,55,33,31,0.3576129797573948
2012020004,1700,1,0,146,47,42,26,96,6,3,7,0.2901272577996716
2012020004,1970,2,0,8,105,4,8,44,138,36,48,0.5259548872180451
2012020004,2893,1,0,164,12,32,38,132,2,4,1,0.21606129730362056
2012020005,291,0,-1,39,27,18,3,112,41,23,25,0.12283410533539216
2012020005,1692,-1,-1,26,8,4,6,96,7,2,7,0.3125000000000001
2012020005,3231,-2,1,0,7,0,0,8,179,25,23,0.37872340425531914
2012020006,2041,0,0,93,93,63,63,149,37,45,15,0.43628830519074413
2012020006,2832,-1,1,2,20,7,1,89,89,70,70,0.5867924528301887
2012020006,2897,0,0,75,75,80,80,167,12,33,39,0.49093946793471266
2012020007,384,0,0,323,323,100,100,136,44,20,32,0.3645553109969838
2012020007,505,1,-1,5,13,5,3,281,281,98,98,0.24467221432920636
2012020007,549,0,0,263,263,87,87,150,52,29,29,0.36417582417582417
2012020007,1319,1,0,47,173,38,40,180,180,69,69,0.43385623029028875
2012020007,1511,0,1,14,15,10,8,168,50,43,42,0.33986377361140374
2012020007,2295,1,0,36,135,25,37,93,93,55,55,0.5034073773344159
2012020007,2697,0,2,1,0,0,0,11,2,3,5,-0.42857142857142866
2012020007,3204,1,0,175,7,20,26,131,1,3,1,0.15337977296181643
2012020007,3402,2,1,15,0,0,0,94,0,0,0,0
2012020008,217,0,0,398,398,121,121,90,27,16,21,0.3964166854340265
2012020008,402,1,1,15,7,4,1,16,5,1,1,0.07729468599033804
2012020008,1007,2,2,2,0,0,0,1,0,0,0,0
2012020008,1047,3,1,3,0,0,0,5,0,0,0,0
2012020008,1415,4,0,12,0,1,0,3,0,0,0,0
2012020008,1755,5,0,0,1,0,0,0,16,0,1,0.058823529411764705
2012020009,396,0,0,315,315,102,102,143,47,22,32,0.36130439910366796
2012020009,884,1,1,15,9,6,6,62,9,5,5,0.382716049382716
2012020009,1229,2,1,8,3,1,0,12,1,1,1,0.30000000000000004
2012020009,2169,3,-1,10,0,0,0,8,0,0,0,0
2012020009,2475,4,1,2,0,0,0,3,0,0,0,0
2012020009,3275,5,1,1,0,0,0,5,0,0,0,0
2012020010,39,0,0,577,577,180,180,19,5,1,4,0.3983510226392749
2012020010,968,1,-1,8,21,5,5,210,210,71,71,0.3314627247011589
2012020010,1075,0,1,15,29,9,7,179,55,44,22,0.6433333333333332
2012020010,1925,1,0,44,134,31,46,120,120,61,61,0.39988083631242555
2012020011,1116,0,0,173,173,70,70,167,53,40,25,0.3963179553822829
2012020011,1744,1,-1,11,17,8,5,127,127,59,59,0.10982166273275631
2012020011,1913,0,-1,9,16,4,2,140,46,50,33,0.6320901786784987
2012020011,2318,-1,1,5,7,5,4,97,97,53,53,0.03380952380952387
2012020011,2431,0,1,14,18,9,10,146,35,45,36,0.4973806316419699
2012020011,2610,1,0,24,155,32,35,95,95,67,67,0.609229147847034
2012020011,3185,0,0,43,43,92,92,180,8,22,29,0.47097474043080734
2012020012,127,0,0,458,458,148,148,64,22,8,7,0.3729372937293729
2012020012,1406,-1,1,12,21,3,5,160,160,61,61,0.28435051318838983
2012020012,1459,0,0,145,145,60,60,169,50,45,41,0.3913634546181528
2012020012,1801,1,2,1,0,0,0,12,1,1,1,-0.19999999999999996
2012020012,2709,2,0,0,136,8,7,22,149,37,38,0.48182846066871265
2012020012,3505,1,0,209,1,5,15,131,0,1,1,0.06639424648577964
2012020013,391,0,0,315,315,101,101,139,47,21,32,0.3514091165111039
2012020013,593,-1,0,56,148,13,30,250,250,90,90,0.45219099785663247
2012020013,683,0,1,27,45,7,5,162,58,30,14,0.6385281385281386
2012020013,923,1,-1,7,24,5,1,210,210,75,75,0.45590327169274536
2012020013,1413,0,0,155,155,57,57,166,45,47,39,0.43122260339241464
2012020013,1586,-1,-1,24,3,4,3,87,9,5,6,0.04040681693238047
2012020013,1597,-2,0,86,4,5,6,45,2,1,0,0.05528052805280531
2012020013,2386,-3,-1,6,0,0,0,26,0,0,0,0
2012020013,2967,-4,1,0,3,0,0,0,85,0,1,0.011627906976744186
2012020013,2989,-3,0,80,0,1,0,38,0,0,0,0
2012020014,667,0,1,30,44,8,6,159,60,32,29,0.5360389610389611
2012020014,1343,1,0,47,177,40,38,172,172,67,67,0.438180609049849
2012020014,1497,0,-1,28,15,9,9,166,49,43,42,0.17267759562841528
2012020014,2154,-1,1,5,25,1,6,103,103,63,63,0.7032725496580918
2012020014,3297,0,1,2,3,10,12,183,3,24,23,0.542203147353362
2012020014,3373,1,0,183,2,19,20,144,0,2,1,0.10034013605442171
2012020014,3552,2,0,120,0,0,0,112,0,0,0,0
